;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
161;0.967965;31.21626;17;51;0.0;[0.93 0.99];Average fixed raters;Normalized data;CTR;theta;C22
162;0.910371;11.157067;17;51;0.0;[0.82 0.96];Average fixed raters;Normalized data;CTR;alpha-1;C22
163;0.93262;14.841124;17;51;0.0;[0.86 0.97];Average fixed raters;Normalized data;CTR;alpha-2;C22
164;0.971463;35.042513;17;51;0.0;[0.94 0.99];Average fixed raters;Normalized data;CTR;beta1;C22
165;0.944717;18.088764;17;51;0.0;[0.89 0.98];Average fixed raters;Normalized data;CTR;beta2;C22
166;0.946723;18.769739;17;51;0.0;[0.89 0.98];Average fixed raters;Normalized data;CTR;beta3;C22
167;0.925564;13.434342;17;51;0.0;[0.85 0.97];Average fixed raters;Normalized data;CTR;gamma;C22
168;0.8434;6.385677;17;51;0.0;[0.68 0.93];Average fixed raters;Normalized data;CTR;delta;C23
169;0.94847;19.406142;17;51;0.0;[0.89 0.98];Average fixed raters;Normalized data;CTR;theta;C23
170;0.895;9.52377;17;51;0.0;[0.78 0.96];Average fixed raters;Normalized data;CTR;alpha-1;C23
171;0.893688;9.40624;17;51;0.0;[0.78 0.96];Average fixed raters;Normalized data;CTR;alpha-2;C23
172;0.908371;10.913611;17;51;0.0;[0.81 0.96];Average fixed raters;Normalized data;CTR;beta1;C23
173;0.883642;8.59416;17;51;0.0;[0.76 0.95];Average fixed raters;Normalized data;CTR;beta2;C23
174;0.939468;16.520089;17;51;0.0;[0.88 0.97];Average fixed raters;Normalized data;CTR;beta3;C23
175;0.939667;16.574558;17;51;0.0;[0.88 0.97];Average fixed raters;Normalized data;CTR;gamma;C23
176;0.664658;2.982031;17;51;0.001321;[0.31 0.86];Average fixed raters;Normalized data;CTR;delta;C24
177;0.975558;40.91276;17;51;0.0;[0.95 0.99];Average fixed raters;Normalized data;CTR;theta;C24
178;0.951654;20.684426;17;51;0.0;[0.9  0.98];Average fixed raters;Normalized data;CTR;alpha-1;C24
179;0.936912;15.850832;17;51;0.0;[0.87 0.97];Average fixed raters;Normalized data;CTR;alpha-2;C24
180;0.958319;23.991482;17;51;0.0;[0.91 0.98];Average fixed raters;Normalized data;CTR;beta1;C24
181;0.931918;14.688085;17;51;0.0;[0.86 0.97];Average fixed raters;Normalized data;CTR;beta2;C24
182;0.965636;29.100593;17;51;0.0;[0.93 0.99];Average fixed raters;Normalized data;CTR;beta3;C24
183;0.949905;19.962092;17;51;0.0;[0.9  0.98];Average fixed raters;Normalized data;CTR;gamma;C24
184;0.825498;5.73058;17;51;1e-06;[0.64 0.93];Average fixed raters;Normalized data;CTR;delta;C25
185;0.97102;34.506227;17;51;0.0;[0.94 0.99];Average fixed raters;Normalized data;CTR;theta;C25
186;0.909587;11.060339;17;51;0.0;[0.81 0.96];Average fixed raters;Normalized data;CTR;alpha-1;C25
187;0.95101;20.412391;17;51;0.0;[0.9  0.98];Average fixed raters;Normalized data;CTR;alpha-2;C25
188;0.925911;13.497268;17;51;0.0;[0.85 0.97];Average fixed raters;Normalized data;CTR;beta1;C25
189;0.96711;30.403973;17;51;0.0;[0.93 0.99];Average fixed raters;Normalized data;CTR;beta2;C25
190;0.976891;43.273914;17;51;0.0;[0.95 0.99];Average fixed raters;Normalized data;CTR;beta3;C25
191;0.949009;19.61122;17;51;0.0;[0.9  0.98];Average fixed raters;Normalized data;CTR;gamma;C25
192;0.821094;5.589516;24;72;0.0;[0.67 0.91];Average fixed raters;Normalized data;G2;delta;C14
193;0.9236;13.089079;24;72;0.0;[0.86 0.96];Average fixed raters;Normalized data;G2;theta;C14
194;0.918902;12.330724;24;72;0.0;[0.85 0.96];Average fixed raters;Normalized data;G2;alpha-1;C14
195;0.940825;16.899046;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;alpha-2;C14
196;0.873059;7.877653;24;72;0.0;[0.77 0.94];Average fixed raters;Normalized data;G2;beta1;C14
197;0.898618;9.863698;24;72;0.0;[0.81 0.95];Average fixed raters;Normalized data;G2;beta2;C14
198;0.932362;14.784536;24;72;0.0;[0.88 0.97];Average fixed raters;Normalized data;G2;beta3;C14
199;0.627351;2.683488;24;72;0.000678;[0.31 0.82];Average fixed raters;Normalized data;G2;gamma;C14
