;Type;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
122;ICC3;Single fixed raters;0.753182;13.206274;42;126;0.0;[0.65 0.84];Preprocessed data;Control;beta1;C18
123;ICC1k;Average raters absolute;0.923186;13.018395;42;129;0.0;[0.88 0.95];Preprocessed data;Control;beta1;C18
124;ICC2k;Average random raters;0.923269;13.206274;42;126;0.0;[0.88 0.95];Preprocessed data;Control;beta1;C18
125;ICC3k;Average fixed raters;0.924278;13.206274;42;126;0.0;[0.88 0.96];Preprocessed data;Control;beta1;C18
126;ICC1;Single raters absolute;0.739263;12.34114;42;129;0.0;[0.63 0.83];Preprocessed data;Control;beta2;C18
127;ICC2;Single random raters;0.739502;12.51686;42;126;0.0;[0.63 0.83];Preprocessed data;Control;beta2;C18
128;ICC3;Single fixed raters;0.742216;12.51686;42;126;0.0;[0.63 0.84];Preprocessed data;Control;beta2;C18
129;ICC1k;Average raters absolute;0.91897;12.34114;42;129;0.0;[0.87 0.95];Preprocessed data;Control;beta2;C18
130;ICC2k;Average random raters;0.919062;12.51686;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta2;C18
131;ICC3k;Average fixed raters;0.920108;12.51686;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta2;C18
132;ICC1;Single raters absolute;0.841062;22.167018;42;129;0.0;[0.76 0.9 ];Preprocessed data;Control;beta3;C18
133;ICC2;Single random raters;0.840962;21.822741;42;126;0.0;[0.76 0.9 ];Preprocessed data;Control;beta3;C18
134;ICC3;Single fixed raters;0.838857;21.822741;42;126;0.0;[0.76 0.9 ];Preprocessed data;Control;beta3;C18
135;ICC1k;Average raters absolute;0.954888;22.167018;42;129;0.0;[0.93 0.97];Preprocessed data;Control;beta3;C18
136;ICC2k;Average random raters;0.954856;21.822741;42;126;0.0;[0.93 0.97];Preprocessed data;Control;beta3;C18
137;ICC3k;Average fixed raters;0.954176;21.822741;42;126;0.0;[0.93 0.97];Preprocessed data;Control;beta3;C18
138;ICC1;Single raters absolute;0.683459;9.636598;42;129;0.0;[0.56 0.79];Preprocessed data;Control;gamma;C18
139;ICC2;Single random raters;0.683594;9.688885;42;126;0.0;[0.56 0.79];Preprocessed data;Control;gamma;C18
140;ICC3;Single fixed raters;0.684763;9.688885;42;126;0.0;[0.56 0.79];Preprocessed data;Control;gamma;C18
141;ICC1k;Average raters absolute;0.896229;9.636598;42;129;0.0;[0.83 0.94];Preprocessed data;Control;gamma;C18
142;ICC2k;Average random raters;0.896287;9.688885;42;126;0.0;[0.83 0.94];Preprocessed data;Control;gamma;C18
143;ICC3k;Average fixed raters;0.896789;9.688885;42;126;0.0;[0.84 0.94];Preprocessed data;Control;gamma;C18
144;ICC1;Single raters absolute;0.590431;6.766374;42;129;0.0;[0.45 0.72];Preprocessed data;Control;delta;C20
145;ICC2;Single random raters;0.590585;6.791227;42;126;0.0;[0.45 0.72];Preprocessed data;Control;delta;C20
146;ICC3;Single fixed raters;0.591471;6.791227;42;126;0.0;[0.45 0.72];Preprocessed data;Control;delta;C20
147;ICC1k;Average raters absolute;0.85221;6.766374;42;129;0.0;[0.76 0.91];Preprocessed data;Control;delta;C20
148;ICC2k;Average random raters;0.85229;6.791227;42;126;0.0;[0.76 0.91];Preprocessed data;Control;delta;C20
149;ICC3k;Average fixed raters;0.852751;6.791227;42;126;0.0;[0.76 0.91];Preprocessed data;Control;delta;C20
150;ICC1;Single raters absolute;0.826078;19.998763;42;129;0.0;[0.74 0.89];Preprocessed data;Control;theta;C20
151;ICC2;Single random raters;0.826007;19.814793;42;126;0.0;[0.74 0.89];Preprocessed data;Control;theta;C20
152;ICC3;Single fixed raters;0.824675;19.814793;42;126;0.0;[0.74 0.89];Preprocessed data;Control;theta;C20
153;ICC1k;Average raters absolute;0.949997;19.998763;42;129;0.0;[0.92 0.97];Preprocessed data;Control;theta;C20
154;ICC2k;Average random raters;0.949974;19.814793;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C20
155;ICC3k;Average fixed raters;0.949533;19.814793;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C20
156;ICC1;Single raters absolute;0.775008;14.778396;42;129;0.0;[0.67 0.86];Preprocessed data;Control;alpha-1;C20
157;ICC2;Single random raters;0.775065;14.845547;42;126;0.0;[0.67 0.86];Preprocessed data;Control;alpha-1;C20
158;ICC3;Single fixed raters;0.775854;14.845547;42;126;0.0;[0.67 0.86];Preprocessed data;Control;alpha-1;C20
159;ICC1k;Average raters absolute;0.932334;14.778396;42;129;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C20
160;ICC2k;Average random raters;0.932354;14.845547;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C20
161;ICC3k;Average fixed raters;0.93264;14.845547;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C20
162;ICC1;Single raters absolute;0.787057;15.784388;42;129;0.0;[0.69 0.87];Preprocessed data;Control;alpha-2;C20
163;ICC2;Single random raters;0.787116;15.867156;42;126;0.0;[0.69 0.87];Preprocessed data;Control;alpha-2;C20
164;ICC3;Single fixed raters;0.787991;15.867156;42;126;0.0;[0.69 0.87];Preprocessed data;Control;alpha-2;C20
165;ICC1k;Average raters absolute;0.936646;15.784388;42;129;0.0;[0.9  0.96];Preprocessed data;Control;alpha-2;C20
166;ICC2k;Average random raters;0.936667;15.867156;42;126;0.0;[0.9  0.96];Preprocessed data;Control;alpha-2;C20
167;ICC3k;Average fixed raters;0.936977;15.867156;42;126;0.0;[0.9  0.96];Preprocessed data;Control;alpha-2;C20
168;ICC1;Single raters absolute;0.730974;11.868476;42;129;0.0;[0.62 0.83];Preprocessed data;Control;beta1;C20
169;ICC2;Single random raters;0.730653;11.661604;42;126;0.0;[0.62 0.83];Preprocessed data;Control;beta1;C20
170;ICC3;Single fixed raters;0.727179;11.661604;42;126;0.0;[0.61 0.82];Preprocessed data;Control;beta1;C20
171;ICC1k;Average raters absolute;0.915743;11.868476;42;129;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C20
172;ICC2k;Average random raters;0.915617;11.661604;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C20
173;ICC3k;Average fixed raters;0.914249;11.661604;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C20
174;ICC1;Single raters absolute;0.674714;9.296882;42;129;0.0;[0.55 0.79];Preprocessed data;Control;beta2;C20
175;ICC2;Single random raters;0.674224;9.127838;42;126;0.0;[0.55 0.79];Preprocessed data;Control;beta2;C20
176;ICC3;Single fixed raters;0.67018;9.127838;42;126;0.0;[0.54 0.78];Preprocessed data;Control;beta2;C20
177;ICC1k;Average raters absolute;0.892437;9.296882;42;129;0.0;[0.83 0.94];Preprocessed data;Control;beta2;C20
178;ICC2k;Average random raters;0.892222;9.127838;42;126;0.0;[0.83 0.94];Preprocessed data;Control;beta2;C20
179;ICC3k;Average fixed raters;0.890445;9.127838;42;126;0.0;[0.83 0.94];Preprocessed data;Control;beta2;C20
180;ICC1;Single raters absolute;0.768841;14.304121;42;129;0.0;[0.67 0.85];Preprocessed data;Control;beta3;C20
181;ICC2;Single random raters;0.768704;14.158826;42;126;0.0;[0.67 0.85];Preprocessed data;Control;beta3;C20
182;ICC3;Single fixed raters;0.766884;14.158826;42;126;0.0;[0.66 0.85];Preprocessed data;Control;beta3;C20
183;ICC1k;Average raters absolute;0.93009;14.304121;42;129;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C20
184;ICC2k;Average random raters;0.93004;14.158826;42;126;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C20
185;ICC3k;Average fixed raters;0.929373;14.158826;42;126;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C20
186;ICC1;Single raters absolute;0.713516;10.962375;42;129;0.0;[0.6  0.81];Preprocessed data;Control;gamma;C20
187;ICC2;Single random raters;0.713346;10.872345;42;126;0.0;[0.59 0.81];Preprocessed data;Control;gamma;C20
188;ICC3;Single fixed raters;0.711657;10.872345;42;126;0.0;[0.59 0.81];Preprocessed data;Control;gamma;C20
189;ICC1k;Average raters absolute;0.908779;10.962375;42;129;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C20
190;ICC2k;Average random raters;0.90871;10.872345;42;126;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C20
191;ICC3k;Average fixed raters;0.908024;10.872345;42;126;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C20
192;ICC1;Single raters absolute;0.516944;5.280615;42;129;0.0;[0.37 0.67];Preprocessed data;Control;delta;C22
193;ICC2;Single random raters;0.521076;5.686885;42;126;0.0;[0.37 0.67];Preprocessed data;Control;delta;C22
194;ICC3;Single fixed raters;0.539536;5.686885;42;126;0.0;[0.39 0.68];Preprocessed data;Control;delta;C22
195;ICC1k;Average raters absolute;0.810628;5.280615;42;129;0.0;[0.7  0.89];Preprocessed data;Control;delta;C22
196;ICC2k;Average random raters;0.813156;5.686885;42;126;0.0;[0.7  0.89];Preprocessed data;Control;delta;C22
197;ICC3k;Average fixed raters;0.824157;5.686885;42;126;0.0;[0.72 0.9 ];Preprocessed data;Control;delta;C22
198;ICC1;Single raters absolute;0.82776;20.223417;42;129;0.0;[0.75 0.89];Preprocessed data;Control;theta;C22
199;ICC2;Single random raters;0.827942;20.733966;42;126;0.0;[0.75 0.89];Preprocessed data;Control;theta;C22
200;ICC3;Single fixed raters;0.831465;20.733966;42;126;0.0;[0.75 0.9 ];Preprocessed data;Control;theta;C22
201;ICC1k;Average raters absolute;0.950552;20.223417;42;129;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
202;ICC2k;Average random raters;0.950613;20.733966;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
203;ICC3k;Average fixed raters;0.95177;20.733966;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
204;ICC1;Single raters absolute;0.740913;12.438858;42;129;0.0;[0.63 0.83];Preprocessed data;Control;alpha-1;C22
205;ICC2;Single random raters;0.741908;13.225974;42;126;0.0;[0.63 0.84];Preprocessed data;Control;alpha-1;C22
206;ICC3;Single fixed raters;0.753482;13.225974;42;126;0.0;[0.65 0.84];Preprocessed data;Control;alpha-1;C22
207;ICC1k;Average raters absolute;0.919607;12.438858;42;129;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C22
208;ICC2k;Average random raters;0.91999;13.225974;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C22
209;ICC3k;Average fixed raters;0.924391;13.225974;42;126;0.0;[0.88 0.96];Preprocessed data;Control;alpha-1;C22
210;ICC1;Single raters absolute;0.817116;18.871828;42;129;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
211;ICC2;Single random raters;0.8172;19.061798;42;126;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
212;ICC3;Single fixed raters;0.818691;19.061798;42;126;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
213;ICC1k;Average raters absolute;0.947011;18.871828;42;129;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
214;ICC2k;Average random raters;0.947039;19.061798;42;126;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
215;ICC3k;Average fixed raters;0.947539;19.061798;42;126;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
216;ICC1;Single raters absolute;0.791407;16.176138;42;129;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
217;ICC2;Single random raters;0.791472;16.272631;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
218;ICC3;Single fixed raters;0.792452;16.272631;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
219;ICC1k;Average raters absolute;0.938181;16.176138;42;129;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
220;ICC2k;Average random raters;0.938203;16.272631;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
221;ICC3k;Average fixed raters;0.938547;16.272631;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
222;ICC1;Single raters absolute;0.798405;16.841786;42;129;0.0;[0.71 0.87];Preprocessed data;Control;beta2;C22
223;ICC2;Single random raters;0.798668;17.289566;42;126;0.0;[0.71 0.87];Preprocessed data;Control;beta2;C22
224;ICC3;Single fixed raters;0.802854;17.289566;42;126;0.0;[0.71 0.88];Preprocessed data;Control;beta2;C22
