;Type;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
698;ICC3;Single fixed raters;0.746413;12.773685;42;126;0.0;[0.64 0.84];Normalized data;Control;beta1;C24
699;ICC1k;Average raters absolute;0.920991;12.65675;42;129;0.0;[0.87 0.95];Normalized data;Control;beta1;C24
700;ICC2k;Average random raters;0.921048;12.773685;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C24
701;ICC3k;Average fixed raters;0.921714;12.773685;42;126;0.0;[0.88 0.95];Normalized data;Control;beta1;C24
702;ICC1;Single raters absolute;0.791867;16.218462;42;129;0.0;[0.7  0.87];Normalized data;Control;beta2;C24
703;ICC2;Single random raters;0.791617;15.853222;42;126;0.0;[0.7  0.87];Normalized data;Control;beta2;C24
704;ICC3;Single fixed raters;0.787835;15.853222;42;126;0.0;[0.69 0.87];Normalized data;Control;beta2;C24
705;ICC1k;Average raters absolute;0.938342;16.218462;42;129;0.0;[0.9  0.96];Normalized data;Control;beta2;C24
706;ICC2k;Average random raters;0.938254;15.853222;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C24
707;ICC3k;Average fixed raters;0.936921;15.853222;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C24
708;ICC1;Single raters absolute;0.83288;20.934836;42;129;0.0;[0.75 0.9 ];Normalized data;Control;beta3;C24
709;ICC2;Single random raters;0.833216;21.997592;42;126;0.0;[0.75 0.9 ];Normalized data;Control;beta3;C24
710;ICC3;Single fixed raters;0.839985;21.997592;42;126;0.0;[0.76 0.9 ];Normalized data;Control;beta3;C24
711;ICC1k;Average raters absolute;0.952233;20.934836;42;129;0.0;[0.92 0.97];Normalized data;Control;beta3;C24
712;ICC2k;Average random raters;0.952343;21.997592;42;126;0.0;[0.92 0.97];Normalized data;Control;beta3;C24
713;ICC3k;Average fixed raters;0.95454;21.997592;42;126;0.0;[0.93 0.97];Normalized data;Control;beta3;C24
714;ICC1;Single raters absolute;0.820082;19.232331;42;129;0.0;[0.73 0.89];Normalized data;Control;gamma;C24
715;ICC2;Single random raters;0.820251;19.6426;42;126;0.0;[0.73 0.89];Normalized data;Control;gamma;C24
716;ICC3;Single fixed raters;0.823342;19.6426;42;126;0.0;[0.74 0.89];Normalized data;Control;gamma;C24
717;ICC1k;Average raters absolute;0.948004;19.232331;42;129;0.0;[0.92 0.97];Normalized data;Control;gamma;C24
718;ICC2k;Average random raters;0.948061;19.6426;42;126;0.0;[0.92 0.97];Normalized data;Control;gamma;C24
719;ICC3k;Average fixed raters;0.94909;19.6426;42;126;0.0;[0.92 0.97];Normalized data;Control;gamma;C24
720;ICC1;Single raters absolute;0.433199;4.057155;42;129;0.0;[0.28 0.6 ];Normalized data;Control;delta;C25
721;ICC2;Single random raters;0.43751;4.289114;42;126;0.0;[0.28 0.6 ];Normalized data;Control;delta;C25
722;ICC3;Single fixed raters;0.451236;4.289114;42;126;0.0;[0.3  0.61];Normalized data;Control;delta;C25
723;ICC1k;Average raters absolute;0.753522;4.057155;42;129;0.0;[0.61 0.85];Normalized data;Control;delta;C25
724;ICC2k;Average random raters;0.756764;4.289114;42;126;0.0;[0.61 0.86];Normalized data;Control;delta;C25
725;ICC3k;Average fixed raters;0.766852;4.289114;42;126;0.0;[0.63 0.86];Normalized data;Control;delta;C25
726;ICC1;Single raters absolute;0.803027;17.307363;42;129;0.0;[0.71 0.88];Normalized data;Control;theta;C25
727;ICC2;Single random raters;0.804378;20.130326;42;126;0.0;[0.7  0.88];Normalized data;Control;theta;C25
728;ICC3;Single fixed raters;0.827067;20.130326;42;126;0.0;[0.74 0.89];Normalized data;Control;theta;C25
729;ICC1k;Average raters absolute;0.942221;17.307363;42;129;0.0;[0.91 0.97];Normalized data;Control;theta;C25
730;ICC2k;Average random raters;0.942686;20.130326;42;126;0.0;[0.9  0.97];Normalized data;Control;theta;C25
731;ICC3k;Average fixed raters;0.950324;20.130326;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C25
732;ICC1;Single raters absolute;0.694321;10.085609;42;129;0.0;[0.57 0.8 ];Normalized data;Control;alpha-1;C25
733;ICC2;Single random raters;0.695197;10.480025;42;126;0.0;[0.57 0.8 ];Normalized data;Control;alpha-1;C25
734;ICC3;Single fixed raters;0.703265;10.480025;42;126;0.0;[0.58 0.81];Normalized data;Control;alpha-1;C25
735;ICC1k;Average raters absolute;0.900849;10.085609;42;129;0.0;[0.84 0.94];Normalized data;Control;alpha-1;C25
736;ICC2k;Average random raters;0.901217;10.480025;42;126;0.0;[0.84 0.94];Normalized data;Control;alpha-1;C25
737;ICC3k;Average fixed raters;0.90458;10.480025;42;126;0.0;[0.85 0.94];Normalized data;Control;alpha-1;C25
738;ICC1;Single raters absolute;0.758321;13.550864;42;129;0.0;[0.65 0.85];Normalized data;Control;alpha-2;C25
739;ICC2;Single random raters;0.75847;13.691174;42;126;0.0;[0.65 0.85];Normalized data;Control;alpha-2;C25
740;ICC3;Single fixed raters;0.760352;13.691174;42;126;0.0;[0.65 0.85];Normalized data;Control;alpha-2;C25
741;ICC1k;Average raters absolute;0.926204;13.550864;42;129;0.0;[0.88 0.96];Normalized data;Control;alpha-2;C25
742;ICC2k;Average random raters;0.92626;13.691174;42;126;0.0;[0.88 0.96];Normalized data;Control;alpha-2;C25
743;ICC3k;Average fixed raters;0.92696;13.691174;42;126;0.0;[0.88 0.96];Normalized data;Control;alpha-2;C25
744;ICC1;Single raters absolute;0.718064;11.18762;42;129;0.0;[0.6  0.82];Normalized data;Control;beta1;C25
745;ICC2;Single random raters;0.717956;11.12728;42;126;0.0;[0.6  0.82];Normalized data;Control;beta1;C25
746;ICC3;Single fixed raters;0.71686;11.12728;42;126;0.0;[0.6  0.82];Normalized data;Control;beta1;C25
747;ICC1k;Average raters absolute;0.910615;11.18762;42;129;0.0;[0.86 0.95];Normalized data;Control;beta1;C25
748;ICC2k;Average random raters;0.910572;11.12728;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C25
749;ICC3k;Average fixed raters;0.910131;11.12728;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C25
750;ICC1;Single raters absolute;0.855287;24.640924;42;129;0.0;[0.78 0.91];Normalized data;Control;beta2;C25
751;ICC2;Single random raters;0.85577;27.151901;42;126;0.0;[0.78 0.91];Normalized data;Control;beta2;C25
752;ICC3;Single fixed raters;0.867338;27.151901;42;126;0.0;[0.8  0.92];Normalized data;Control;beta2;C25
753;ICC1k;Average raters absolute;0.959417;24.640924;42;129;0.0;[0.94 0.98];Normalized data;Control;beta2;C25
754;ICC2k;Average random raters;0.959569;27.151901;42;126;0.0;[0.93 0.98];Normalized data;Control;beta2;C25
755;ICC3k;Average fixed raters;0.96317;27.151901;42;126;0.0;[0.94 0.98];Normalized data;Control;beta2;C25
756;ICC1;Single raters absolute;0.898856;36.547537;42;129;0.0;[0.85 0.94];Normalized data;Control;beta3;C25
757;ICC2;Single random raters;0.898806;35.841647;42;126;0.0;[0.85 0.94];Normalized data;Control;beta3;C25
758;ICC3;Single fixed raters;0.897018;35.841647;42;126;0.0;[0.84 0.94];Normalized data;Control;beta3;C25
759;ICC1k;Average raters absolute;0.972638;36.547537;42;129;0.0;[0.96 0.98];Normalized data;Control;beta3;C25
760;ICC2k;Average random raters;0.972624;35.841647;42;126;0.0;[0.96 0.98];Normalized data;Control;beta3;C25
761;ICC3k;Average fixed raters;0.972099;35.841647;42;126;0.0;[0.96 0.98];Normalized data;Control;beta3;C25
762;ICC1;Single raters absolute;0.842986;22.475445;42;129;0.0;[0.77 0.9 ];Normalized data;Control;gamma;C25
763;ICC2;Single random raters;0.842914;22.217202;42;126;0.0;[0.77 0.9 ];Normalized data;Control;gamma;C25
764;ICC3;Single fixed raters;0.841378;22.217202;42;126;0.0;[0.76 0.9 ];Normalized data;Control;gamma;C25
765;ICC1k;Average raters absolute;0.955507;22.475445;42;129;0.0;[0.93 0.97];Normalized data;Control;gamma;C25
766;ICC2k;Average random raters;0.955484;22.217202;42;126;0.0;[0.93 0.97];Normalized data;Control;gamma;C25
767;ICC3k;Average fixed raters;0.95499;22.217202;42;126;0.0;[0.93 0.97];Normalized data;Control;gamma;C25
