;Description;ICC;F;df1;df2;pval;CI95%;Type;Stage;Group;Bands;Roi
145;Single random raters;0.554973;6.29091;429;1287;0.0;[0.5 0.6];ICC2;Preprocessed data;Control;delta;T
146;Single fixed raters;0.569472;6.29091;429;1287;0.0;[0.52 0.61];ICC3;Preprocessed data;Control;delta;T
147;Average raters absolute;0.831394;5.930999;429;1290;0.0;[0.8  0.86];ICC1k;Preprocessed data;Control;delta;T
148;Average random raters;0.833005;6.29091;429;1287;0.0;[0.8  0.86];ICC2k;Preprocessed data;Control;delta;T
149;Average fixed raters;0.84104;6.29091;429;1287;0.0;[0.82 0.86];ICC3k;Preprocessed data;Control;delta;T
150;Single raters absolute;0.859167;25.402402;429;1290;0.0;[0.84 0.88];ICC1;Preprocessed data;Control;theta;T
151;Single random raters;0.859237;25.767802;429;1287;0.0;[0.84 0.88];ICC2;Preprocessed data;Control;theta;T
152;Single fixed raters;0.860956;25.767802;429;1287;0.0;[0.84 0.88];ICC3;Preprocessed data;Control;theta;T
153;Average raters absolute;0.960634;25.402402;429;1290;0.0;[0.95 0.97];ICC1k;Preprocessed data;Control;theta;T
154;Average random raters;0.960656;25.767802;429;1287;0.0;[0.95 0.97];ICC2k;Preprocessed data;Control;theta;T
155;Average fixed raters;0.961192;25.767802;429;1287;0.0;[0.95 0.97];ICC3k;Preprocessed data;Control;theta;T
156;Single raters absolute;0.746974;12.808681;429;1290;0.0;[0.71 0.78];ICC1;Preprocessed data;Control;alpha-1;T
157;Single random raters;0.747865;13.56643;429;1287;0.0;[0.71 0.78];ICC2;Preprocessed data;Control;alpha-1;T
158;Single fixed raters;0.758548;13.56643;429;1287;0.0;[0.73 0.79];ICC3;Preprocessed data;Control;alpha-1;T
159;Average raters absolute;0.921928;12.808681;429;1290;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-1;T
160;Average random raters;0.922267;13.56643;429;1287;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;alpha-1;T
161;Average fixed raters;0.926289;13.56643;429;1287;0.0;[0.91 0.94];ICC3k;Preprocessed data;Control;alpha-1;T
162;Single raters absolute;0.745994;12.747632;429;1290;0.0;[0.71 0.78];ICC1;Preprocessed data;Control;alpha-2;T
163;Single random raters;0.746548;13.202276;429;1287;0.0;[0.71 0.78];ICC2;Preprocessed data;Control;alpha-2;T
164;Single fixed raters;0.753121;13.202276;429;1287;0.0;[0.72 0.78];ICC3;Preprocessed data;Control;alpha-2;T
165;Average raters absolute;0.921554;12.747632;429;1290;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-2;T
166;Average random raters;0.921765;13.202276;429;1287;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;alpha-2;T
167;Average fixed raters;0.924255;13.202276;429;1287;0.0;[0.91 0.94];ICC3k;Preprocessed data;Control;alpha-2;T
168;Single raters absolute;0.722947;11.437688;429;1290;0.0;[0.69 0.76];ICC1;Preprocessed data;Control;beta1;T
169;Single random raters;0.72323;11.608911;429;1287;0.0;[0.69 0.76];ICC2;Preprocessed data;Control;beta1;T
170;Single fixed raters;0.726195;11.608911;429;1287;0.0;[0.69 0.76];ICC3;Preprocessed data;Control;beta1;T
171;Average raters absolute;0.91257;11.437688;429;1290;0.0;[0.9  0.93];ICC1k;Preprocessed data;Control;beta1;T
172;Average random raters;0.912682;11.608911;429;1287;0.0;[0.9  0.93];ICC2k;Preprocessed data;Control;beta1;T
173;Average fixed raters;0.913859;11.608911;429;1287;0.0;[0.9  0.93];ICC3k;Preprocessed data;Control;beta1;T
174;Single raters absolute;0.723535;11.468403;429;1290;0.0;[0.69 0.76];ICC1;Preprocessed data;Control;beta2;T
175;Single random raters;0.723849;11.660012;429;1287;0.0;[0.69 0.76];ICC2;Preprocessed data;Control;beta2;T
176;Single fixed raters;0.727149;11.660012;429;1287;0.0;[0.69 0.76];ICC3;Preprocessed data;Control;beta2;T
177;Average raters absolute;0.912804;11.468403;429;1290;0.0;[0.9  0.93];ICC1k;Preprocessed data;Control;beta2;T
178;Average random raters;0.912929;11.660012;429;1287;0.0;[0.9  0.93];ICC2k;Preprocessed data;Control;beta2;T
179;Average fixed raters;0.914237;11.660012;429;1287;0.0;[0.9  0.93];ICC3k;Preprocessed data;Control;beta2;T
180;Single raters absolute;0.76862;14.287601;429;1290;0.0;[0.74 0.8 ];ICC1;Preprocessed data;Control;beta3;T
181;Single random raters;0.768703;14.376316;429;1287;0.0;[0.74 0.8 ];ICC2;Preprocessed data;Control;beta3;T
182;Single fixed raters;0.769802;14.376316;429;1287;0.0;[0.74 0.8 ];ICC3;Preprocessed data;Control;beta3;T
183;Average raters absolute;0.930009;14.287601;429;1290;0.0;[0.92 0.94];ICC1k;Preprocessed data;Control;beta3;T
184;Average random raters;0.930039;14.376316;429;1287;0.0;[0.92 0.94];ICC2k;Preprocessed data;Control;beta3;T
185;Average fixed raters;0.930441;14.376316;429;1287;0.0;[0.92 0.94];ICC3k;Preprocessed data;Control;beta3;T
186;Single raters absolute;0.668631;9.071147;429;1290;0.0;[0.63 0.71];ICC1;Preprocessed data;Control;gamma;T
187;Single random raters;0.669056;9.214036;429;1287;0.0;[0.63 0.71];ICC2;Preprocessed data;Control;gamma;T
188;Single fixed raters;0.672508;9.214036;429;1287;0.0;[0.63 0.71];ICC3;Preprocessed data;Control;gamma;T
189;Average raters absolute;0.88976;9.071147;429;1290;0.0;[0.87 0.91];ICC1k;Preprocessed data;Control;gamma;T
190;Average random raters;0.889948;9.214036;429;1287;0.0;[0.87 0.91];ICC2k;Preprocessed data;Control;gamma;T
191;Average fixed raters;0.89147;9.214036;429;1287;0.0;[0.87 0.91];ICC3k;Preprocessed data;Control;gamma;T
192;Single raters absolute;0.618491;7.484689;601;1806;0.0;[0.58 0.65];ICC1;Normalized data;Control;delta;F
193;Single random raters;0.62021;7.857547;601;1803;0.0;[0.58 0.66];ICC2;Normalized data;Control;delta;F
194;Single fixed raters;0.631593;7.857547;601;1803;0.0;[0.6  0.67];ICC3;Normalized data;Control;delta;F
195;Average raters absolute;0.866394;7.484689;601;1806;0.0;[0.85 0.88];ICC1k;Normalized data;Control;delta;F
196;Average random raters;0.867236;7.857547;601;1803;0.0;[0.85 0.89];ICC2k;Normalized data;Control;delta;F
197;Average fixed raters;0.872734;7.857547;601;1803;0.0;[0.86 0.89];ICC3k;Normalized data;Control;delta;F
198;Single raters absolute;0.848452;23.394264;601;1806;0.0;[0.83 0.87];ICC1;Normalized data;Control;theta;F
199;Single random raters;0.848581;23.932667;601;1803;0.0;[0.83 0.87];ICC2;Normalized data;Control;theta;F
200;Single fixed raters;0.851481;23.932667;601;1803;0.0;[0.83 0.87];ICC3;Normalized data;Control;theta;F
201;Average raters absolute;0.957254;23.394264;601;1806;0.0;[0.95 0.96];ICC1k;Normalized data;Control;theta;F
202;Average random raters;0.957296;23.932667;601;1803;0.0;[0.95 0.96];ICC2k;Normalized data;Control;theta;F
203;Average fixed raters;0.958216;23.932667;601;1803;0.0;[0.95 0.96];ICC3k;Normalized data;Control;theta;F
204;Single raters absolute;0.750968;13.062209;601;1806;0.0;[0.72 0.78];ICC1;Normalized data;Control;alpha-1;F
205;Single random raters;0.751961;13.959154;601;1803;0.0;[0.72 0.78];ICC2;Normalized data;Control;alpha-1;F
206;Single fixed raters;0.764139;13.959154;601;1803;0.0;[0.74 0.79];ICC3;Normalized data;Control;alpha-1;F
207;Average raters absolute;0.923443;13.062209;601;1806;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-1;F
208;Average random raters;0.923818;13.959154;601;1803;0.0;[0.91 0.94];ICC2k;Normalized data;Control;alpha-1;F
209;Average fixed raters;0.928362;13.959154;601;1803;0.0;[0.92 0.94];ICC3k;Normalized data;Control;alpha-1;F
210;Single raters absolute;0.704972;10.558016;601;1806;0.0;[0.67 0.73];ICC1;Normalized data;Control;alpha-2;F
211;Single random raters;0.705737;10.94406;601;1803;0.0;[0.67 0.74];ICC2;Normalized data;Control;alpha-2;F
212;Single fixed raters;0.713139;10.94406;601;1803;0.0;[0.68 0.74];ICC3;Normalized data;Control;alpha-2;F
213;Average raters absolute;0.905285;10.558016;601;1806;0.0;[0.89 0.92];ICC1k;Normalized data;Control;alpha-2;F
214;Average random raters;0.905601;10.94406;601;1803;0.0;[0.89 0.92];ICC2k;Normalized data;Control;alpha-2;F
215;Average fixed raters;0.908626;10.94406;601;1803;0.0;[0.9  0.92];ICC3k;Normalized data;Control;alpha-2;F
216;Single raters absolute;0.786953;15.775213;601;1806;0.0;[0.76 0.81];ICC1;Normalized data;Control;beta1;F
217;Single random raters;0.787528;16.619729;601;1803;0.0;[0.76 0.81];ICC2;Normalized data;Control;beta1;F
218;Single fixed raters;0.796124;16.619729;601;1803;0.0;[0.77 0.82];ICC3;Normalized data;Control;beta1;F
219;Average raters absolute;0.936609;15.775213;601;1806;0.0;[0.93 0.94];ICC1k;Normalized data;Control;beta1;F
220;Average random raters;0.936813;16.619729;601;1803;0.0;[0.93 0.95];ICC2k;Normalized data;Control;beta1;F
221;Average fixed raters;0.939831;16.619729;601;1803;0.0;[0.93 0.95];ICC3k;Normalized data;Control;beta1;F
222;Single raters absolute;0.784551;15.565886;601;1806;0.0;[0.76 0.81];ICC1;Normalized data;Control;beta2;F
223;Single random raters;0.784843;15.968113;601;1803;0.0;[0.76 0.81];ICC2;Normalized data;Control;beta2;F
224;Single fixed raters;0.78912;15.968113;601;1803;0.0;[0.77 0.81];ICC3;Normalized data;Control;beta2;F
225;Average raters absolute;0.935757;15.565886;601;1806;0.0;[0.93 0.94];ICC1k;Normalized data;Control;beta2;F
226;Average random raters;0.935861;15.968113;601;1803;0.0;[0.93 0.94];ICC2k;Normalized data;Control;beta2;F
227;Average fixed raters;0.937375;15.968113;601;1803;0.0;[0.93 0.95];ICC3k;Normalized data;Control;beta2;F
228;Single raters absolute;0.831925;20.798888;601;1806;0.0;[0.81 0.85];ICC1;Normalized data;Control;beta3;F
229;Single random raters;0.831974;20.943552;601;1803;0.0;[0.81 0.85];ICC2;Normalized data;Control;beta3;F
