;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
170;Single fixed raters;0.722535;11.41622;18;54;0.0;[0.54 0.87];Normalized data;G1;alpha-1;C23
171;Single fixed raters;0.582069;6.570954;18;54;0.0;[0.36 0.78];Normalized data;G1;alpha-2;C23
172;Single fixed raters;0.772398;14.574561;18;54;0.0;[0.61 0.89];Normalized data;G1;beta1;C23
173;Single fixed raters;0.677098;9.387665;18;54;0.0;[0.48 0.84];Normalized data;G1;beta2;C23
174;Single fixed raters;0.703421;10.487131;18;54;0.0;[0.51 0.85];Normalized data;G1;beta3;C23
175;Single fixed raters;0.369172;3.340875;18;54;0.00031;[0.14 0.63];Normalized data;G1;gamma;C23
176;Single fixed raters;0.397196;3.635655;18;54;0.000121;[0.17 0.65];Normalized data;G1;delta;C24
177;Single fixed raters;0.808461;17.883443;18;54;0.0;[0.66 0.91];Normalized data;G1;theta;C24
178;Single fixed raters;0.785854;15.678841;18;54;0.0;[0.63 0.9 ];Normalized data;G1;alpha-1;C24
179;Single fixed raters;0.694688;10.101371;18;54;0.0;[0.5  0.85];Normalized data;G1;alpha-2;C24
180;Single fixed raters;0.796044;16.612095;18;54;0.0;[0.64 0.9 ];Normalized data;G1;beta1;C24
181;Single fixed raters;0.765349;14.046615;18;54;0.0;[0.6  0.89];Normalized data;G1;beta2;C24
182;Single fixed raters;0.659252;8.738871;18;54;0.0;[0.46 0.83];Normalized data;G1;beta3;C24
183;Single fixed raters;0.58083;6.542677;18;54;0.0;[0.36 0.78];Normalized data;G1;gamma;C24
184;Single fixed raters;0.509169;5.149448;18;54;1e-06;[0.28 0.73];Normalized data;G1;delta;C25
185;Single fixed raters;0.674921;9.304712;18;54;0.0;[0.48 0.84];Normalized data;G1;theta;C25
186;Single fixed raters;0.752601;13.168238;18;54;0.0;[0.58 0.88];Normalized data;G1;alpha-1;C25
187;Single fixed raters;0.653067;8.529599;18;54;0.0;[0.45 0.83];Normalized data;G1;alpha-2;C25
188;Single fixed raters;0.835449;21.308574;18;54;0.0;[0.71 0.92];Normalized data;G1;beta1;C25
189;Single fixed raters;0.78302;15.434856;18;54;0.0;[0.63 0.9 ];Normalized data;G1;beta2;C25
190;Single fixed raters;0.746482;12.777968;18;54;0.0;[0.57 0.88];Normalized data;G1;beta3;C25
191;Single fixed raters;0.547473;5.839251;18;54;0.0;[0.32 0.76];Normalized data;G1;gamma;C25
192;Single fixed raters;0.669231;9.093032;24;72;0.0;[0.5  0.82];Normalized data;G2;delta;C14
193;Single fixed raters;0.752887;13.186933;24;72;0.0;[0.61 0.87];Normalized data;G2;theta;C14
194;Single fixed raters;0.748445;12.901108;24;72;0.0;[0.6  0.86];Normalized data;G2;alpha-1;C14
195;Single fixed raters;0.809627;18.011358;24;72;0.0;[0.69 0.9 ];Normalized data;G2;alpha-2;C14
196;Single fixed raters;0.658517;8.713598;24;72;0.0;[0.48 0.81];Normalized data;G2;beta1;C14
197;Single fixed raters;0.703023;10.469071;24;72;0.0;[0.54 0.84];Normalized data;G2;beta2;C14
198;Single fixed raters;0.685161;9.704915;24;72;0.0;[0.52 0.83];Normalized data;G2;beta3;C14
199;Single fixed raters;0.266409;2.452628;24;72;0.001844;[0.08 0.5 ];Normalized data;G2;gamma;C14
200;Single fixed raters;0.669376;9.098335;24;72;0.0;[0.5  0.82];Normalized data;G2;delta;C15
201;Single fixed raters;0.811182;18.184467;24;72;0.0;[0.69 0.9 ];Normalized data;G2;theta;C15
202;Single fixed raters;0.750325;13.020811;24;72;0.0;[0.6  0.87];Normalized data;G2;alpha-1;C15
203;Single fixed raters;0.678441;9.439412;24;72;0.0;[0.51 0.82];Normalized data;G2;alpha-2;C15
204;Single fixed raters;0.805372;17.552071;24;72;0.0;[0.68 0.9 ];Normalized data;G2;beta1;C15
205;Single fixed raters;0.768432;14.273563;24;72;0.0;[0.63 0.88];Normalized data;G2;beta2;C15
206;Single fixed raters;0.719235;11.246776;24;72;0.0;[0.56 0.85];Normalized data;G2;beta3;C15
207;Single fixed raters;0.052204;1.220317;24;72;0.254902;[-0.09  0.27];Normalized data;G2;gamma;C15
208;Single fixed raters;0.712912;10.933005;24;72;0.0;[0.55 0.84];Normalized data;G2;delta;C18
209;Single fixed raters;0.712478;10.911981;24;72;0.0;[0.55 0.84];Normalized data;G2;theta;C18
210;Single fixed raters;0.759318;13.619472;24;72;0.0;[0.62 0.87];Normalized data;G2;alpha-1;C18
